Method,MeanRank,StdRank
mavias,2.3333333333333335,1.1547005383792515
badd,3.3333333333333335,3.2145502536643185
di,4.333333333333333,4.163331998932266
bpa,5.0,3.605551275463989
bb,5.333333333333333,3.0550504633038935
george,6.0,3.605551275463989
flac,6.666666666666667,3.7859388972001824
jtt,7.0,4.358898943540674
sd,8.0,2.6457513110645907
end,8.333333333333334,3.7859388972001824
debian,8.333333333333334,4.725815626252608
lff,8.666666666666666,3.511884584284246
bias_ensemble,10.333333333333334,2.5166114784235836
groupdro,13.666666666666666,1.1547005383792517
erm,14.0,0.0
